# node	root	cur_rel	neighborhood	judge	P[element_of]	P[subcategory]	P[subtopic]	P[super_category]	P[see_also]	P[assoc]	P[unknown]	P[none]	mu[element_of]	mu[subcategory]	mu[subtopic]	mu[super_category]	mu[see_also]	mu[assoc]	mu[unknown]	mu[none]	E_mu_fwd	E_mu_rev
Symbols of Satinism (Documentary)	history	subtopic	principal_h4	gpt-5.5-low	0.072	0.036	0.299	0.018	0.090	0.269	0.096	0.120	0.080	0.040	0.400	0.010	0.100	0.350	0.120	0.000	0.242	0.116
Constraints (Clasical Mechanics)	Antenna	subtopic	principal_h5	gpt-5.5-low	0.019	0.019	0.046	0.009	0.028	0.111	0.074	0.694	0.010	0.010	0.030	0.000	0.020	0.080	0.050	0.000	0.015	0.011
Corporate Facism	philosophy	subtopic	principal_h5	gpt-5.5-low	0.064	0.203	0.321	0.011	0.080	0.214	0.064	0.043	0.080	0.350	0.550	0.000	0.120	0.350	0.080	0.000	0.342	0.092
Books by Peter Kropotkin	Intelectuals & Notable Non-Fiction Writers	subtopic	principal_h5	gpt-5.5-low	0.227	0.103	0.281	0.004	0.132	0.207	0.033	0.012	0.550	0.220	0.650	0.000	0.280	0.450	0.060	0.000	0.462	0.136
Money in Tennesse Politics	Illusions	subtopic	principal_h5	gpt-5.5-low	0.017	0.025	0.067	0.008	0.042	0.200	0.183	0.458	0.010	0.020	0.050	0.000	0.030	0.180	0.150	0.000	0.069	0.047
Cynacism & History Sterotypes	eyes-symbols-history-s243a	subtopic	principal_h5	gpt-5.5-low	0.082	0.100	0.265	0.014	0.183	0.251	0.068	0.037	0.150	0.200	0.550	0.010	0.350	0.500	0.120	0.000	0.376	0.206
Cynacism	wikis	subtopic	principal_h5	gpt-5.5-low	0.072	0.051	0.109	0.007	0.072	0.203	0.159	0.326	0.080	0.050	0.120	0.000	0.080	0.220	0.180	0.000	0.101	0.058
The Phenomenology of Spirit, Hagel	people	subtopic	principal_h5	gpt-5.5-low	0.023	0.016	0.078	0.008	0.078	0.217	0.271	0.310	0.020	0.010	0.080	0.000	0.080	0.220	0.300	0.000	0.142	0.068
Part 5 - Drone Nation (counter intellegence)	Social Media	subtopic	principal_h5	gpt-5.5-low	0.023	0.038	0.115	0.008	0.076	0.321	0.153	0.267	0.020	0.030	0.120	0.000	0.080	0.350	0.160	0.000	0.158	0.126
The Isreal Palistine Conflict	History by Region / place	subtopic	principal_h5	gpt-5.5-low	0.092	0.200	0.325	0.008	0.133	0.208	0.025	0.008	0.180	0.450	0.750	0.000	0.280	0.450	0.050	0.000	0.483	0.138
Symbols of Satinism (Documentary)	Mythology	subtopic	principal_h5	gpt-5.5-low	0.052	0.129	0.320	0.005	0.155	0.247	0.062	0.031	0.080	0.220	0.600	0.000	0.250	0.420	0.100	0.000	0.373	0.151
Part 4 - IV - Necrophilous (Counter Intellegence)	Social Media	subtopic	principal_h5	gpt-5.5-low	0.023	0.015	0.137	0.008	0.092	0.344	0.191	0.191	0.020	0.010	0.120	0.000	0.080	0.350	0.200	0.000	0.183	0.137
Transitions to Totalitarism	Political Philosophy	subtopic	principal_h5	gpt-5.5-low	0.029	0.172	0.417	0.025	0.098	0.196	0.049	0.015	0.050	0.250	0.750	0.000	0.150	0.350	0.080	0.000	0.444	0.086
1984 immages	s243a-wikispaces	subtopic	principal_h5	gpt-5.5-low	0.306	0.067	0.194	0.017	0.083	0.167	0.111	0.056	0.450	0.080	0.250	0.000	0.100	0.250	0.150	0.000	0.258	0.054
